MI,ING,GED,GSA
20.2,3193.762,289.2085,4819.934525
18.5,3015.993,428.8291,5747.96969
17.9,3323.544,505.5826,6401.742635
17.4,2901.912,618.7576,4580.794144
16.9,2391.25,780.3048,4120.886027
16.4,2877.45,1279.8598,5374.774526
15.9,3205.589,1743.4808,6830.444661
15.4,3939.729,2521.1368,8899.504036
14.7,4611.018,4232.5918,12562.37303
14.5,4651.749,4479.9146,19151.15067
14.3,4404.218,4922.554,19834.76679
14.1,4418.081,6941.0338,16599.32428
13.8,4884.862,8775.6239,18307.85955
13.5,4806.526,11155.2638,18332.29333
